"Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"00AHHD",15.7,7.9,17.9,0.8
"00AHHE",19.8,8.4,17.1,0.8
"00AJGC",23.3,6.6,14.3,0.7
"00AJGD",21.5,5.6,13.1,0.9
"00AJGE",28.4,8.9,23.5,1
"00AJGF",11,3.4,7.3,0.8
"00AJGG",14.6,4.8,10.8,0.9
"00AJGH",22.1,7.8,15,0.7
"00AJGJ",20.2,5.9,15.1,0.8
"00AJGK",23.4,7.6,21.9,0.9
"00AJGL",9.7,4.8,17.8,1.1
"00AJGM",4.7,3.3,9.2,1
"00AJGN",25.2,5.6,18.2,0.9
"00AJGP",7.3,6.1,19.8,1.3
"00AJGQ",6.7,2.6,8.7,0.9
"00AJGR",8.3,3.8,16.9,1.2
"00AJGS",24.2,7.8,21.5,0.9
"00AJGT",34.5,9.4,25.1,0.9
"00AJGU",34.7,10.1,21.8,1.1
"00AJGW",8.5,5,17.4,1.1
"00AJGX",33.9,7.3,16.2,0.7
"00AJGY",16.4,8.5,23.8,0.9
"00AJGZ",13.6,10.9,23.6,0.9
"00AJHA",9.8,3.1,9,0.8
"00AJHB",12,3.6,10.2,0.8
"00AKGL",10.7,6.8,16.7,0.8
"00AKGM",5.2,4.1,20.4,1.3
"00AKGN",21.3,6.5,22.4,1.1
"00AKGP",12,4.3,19,1.3
"00AKGQ",43.1,19.6,30.5,0.6
"00AKGR",24.4,9.6,30.1,1
"00AKGS",22.7,11,26.5,0.9
"00AKGT",3.4,3.1,16.1,1.3
"00AKGU",19.5,11,27.2,0.8
"00AKGW",7.4,3.3,18.7,1.2
"00AKGX",15.5,9.1,28.5,1
"00AKGY",27.4,11.5,28.5,0.7
"00AKGZ",9,5.7,20.6,1
"00AKHA",25.6,13.7,26.9,0.8
"00AKHB",24,8.1,24.6,0.9
"00AKHC",7.4,4.6,16.1,1.1
"00AKHD",12,4.3,16.3,1.1
"00AKHE",6.1,3.8,17.4,1.2
"00AKHF",26.3,9.5,30.2,1
"00AKHG",29.8,11.7,28.3,0.8
"00AKHH",6.4,3.9,15.4,1.2
"00ALGP",38.9,9,25.3,0.7
"00ALGQ",22.4,3.4,12.1,0.8
"00ALGR",41.1,7.4,20.8,0.7
"00ALGS",23.5,4.9,25.4,1.1
"00ALGT",17,4.1,20,1.1
"00ALGU",22.4,5.5,21.5,1
"00ALGW",44.1,6.2,30.8,0.9
"00ALGX",41.4,10.5,21.4,0.6
"00ALGY",35.7,5.4,12.8,0.6
"00ALGZ",32.1,6.8,23.7,0.9
"00ALHA",37.3,7.9,25.5,0.9
"00ALHB",30.6,4.1,15,0.6
"00ALHC",27.3,11,21.6,0.7
"00ALHD",19.5,5.9,19.4,1
"00ALHE",38,9.3,18.7,0.7
"00ALHF",50,13.4,21.8,0.6
"00ALHG",50,10.4,19.9,0.5
"00AMGA",32,6,14.1,0.4
"00AMGB",33.8,9.9,23.5,0.4
"00AMGC",51,14.1,21.1,0.4
"00AMGD",34,5.6,14.3,0.5
"00AMGE",38.9,12,15.9,0.4
"00AMGF",39.9,9.4,15.6,0.4
"00AMGG",50.7,11,18.4,0.3
"00AMGH",43.1,11.6,19.3,0.4
"00AMGJ",44.1,10.4,16.1,0.3
"00AMGK",54.3,9.4,17.7,0.3
"00AMGL",57.9,13.6,24.6,0.5
"00AMGM",32,11.4,18.5,0.5
"00AMGN",37,7.1,24.2,0.5
"00AMGP",44.5,8.5,29,0.4
"00AMGQ",50.1,12.2,18.8,0.4
"00AMGR",47,10.8,31.7,0.4
"00AMGS",32.2,8.3,14.2,0.4
"00AMGT",52.3,12.5,19.5,0.4
"00AMGU",53.8,12.2,22.8,0.5
"00ANGA",24.9,4.5,9.3,0.5
"00ANGB",34.8,6.7,13.7,0.5
"00ANGC",21.9,4.7,9.3,0.5
"00ANGD",55.9,7.9,23,0.4
"00ANGE",36.2,4.6,14.8,0.5
"00ANGF",31.9,3.8,11.7,0.5
"00ANGG",39.9,5.5,15,0.5
"00ANGH",18.1,2.8,9.7,0.7
"00ANGJ",28.6,4.7,11.2,0.4
"00ANGK",14.2,1.8,9.9,0.9
"00ANGL",20.6,3,9.5,0.8
"00ANGM",23.2,3.4,9.9,0.6
"00ANGN",33.9,4.2,12.8,0.6
"00ANGP",37.9,8.2,13.9,0.4
"00ANGQ",23.7,3.6,9.4,0.6
"00ANGR",52.3,10.5,21.5,0.5
"00APGA",9,3.4,8,1
"00APGB",28.4,8.5,17.3,0.6
"00APGC",28.2,15.3,22.5,0.5
"00APGD",10.2,3.4,6.4,0.7
"00APGE",11.2,3.5,9.2,0.9
"00APGF",13.9,9.3,14,0.5
"00APGG",11.1,3.3,6.4,0.8
"00APGH",29.5,8.6,13.8,0.6
"00APGJ",9.4,3,8.3,0.9
"00APGK",38.2,12.1,20.8,0.5
"00APGL",48.6,20.8,29.2,0.5
"00APGM",23.6,11.3,20.4,0.5
"00APGN",31.8,10.3,24.4,0.5
"00APGP",22.9,5.5,10.1,0.6
"00APGQ",39.2,12.7,22.7,0.4
"00APGR",39.2,11.8,24.7,0.5
"00APGS",36,12,23.9,0.5
"00APGT",48.7,14.4,30,0.6
"00APGU",23.2,9.2,20,0.6
"00AQFY",3.7,2.8,15.1,1.5
"00AQFZ",10.2,2.9,17.8,1.3
"00AQGA",10.3,4.3,22.5,1.1
"00AQGB",11.4,5.3,11.7,0.8
"00AQGC",13.8,3.4,13.3,1
"00AQGD",15.9,4.7,19.4,1.3
"00AQGE",8.5,2.4,15.4,1.4
"00AQGF",4,2.5,12.9,1.4
"00AQGG",7.2,3.7,13.1,1.1
"00AQGH",14.8,3.7,23.4,1.2
"00AQGJ",3,3,17.9,1.4
"00AQGK",11.1,6.1,17.1,0.9
"00AQGL",14.6,2.8,14.7,1.3
"00AQGM",6.7,1.9,11.4,1.4
"00AQGN",3.9,3.2,20.8,1.2
"00AQGP",2.2,3.2,13.7,1.3
"00AQGQ",25.4,5.7,19.2,1
"00AQGR",9.5,5.2,17.3,1.2
"00AQGS",15,3.2,19.7,1.4
"00AQGT",15.1,6.4,20.9,1
"00AQGU",9.6,3.7,13.4,1.1
"00ARGC",17.4,5,24.9,1
"00ARGD",4.8,2.7,22.2,1.3
"00ARGE",15.1,5,29.6,1.1
"00ARGF",3.9,2.5,23.1,1.6
"00ARGG",41.9,9.3,34.2,1
"00ARGH",4.4,3.1,25.3,1.3
"00ARGJ",16,4.8,25.8,1.2
"00ARGK",20.6,6.4,30.4,1.3
"00ARGL",37.1,8.8,35.8,1
"00ARGM",7.2,3.2,23.7,1.4
"00ARGN",11.4,5,29.6,1.2
"00ARGP",5.4,3.2,25.7,1.4
"00ARGQ",8.9,5.2,29.8,1.3
"00ARGR",13,5,21,0.9
"00ARGS",11.3,3.7,26.2,1.2
"00ARGT",19.8,7.3,31.4,1.2
"00ARGU",8.8,3.9,20,1.3
"00ARGW",1.9,31.6,19,1.4
"00ASGG",19.2,5.8,22.4,1.2
"00ASGH",25.2,7.6,24,1.1
"00ASGJ",22,3.3,17.6,1.1
"00ASGK",7.3,2.4,17.2,1.4
"00ASGL",9.7,4.2,21.6,1.3
"00ASGM",7.2,2,13.6,1.5
"00ASGN",24,3.2,23.8,1.4
"00ASGP",14.8,3.7,19.2,1.1
"00ASGQ",14.8,4.5,19.3,1.3
"00ASGR",4.4,1.6,14.6,1.6
"00ASGS",4.1,2,17,1.3
"00ASGT",14.2,2.3,13.3,1.3
"00ASGU",15.5,2.6,16.6,1.3
"00ASGW",20.4,6,22,1.2
"00ASGX",10.1,3.4,18.3,1.2
"00ASGY",30.1,7.9,24.7,1
"00ASGZ",12.7,2.9,16.8,1.3
"00ASHA",22.2,3.9,14.1,1
"00ASHB",26.4,5.3,24.3,1.1
"00ASHC",11,2,16.3,1.3
"00ASHD",21.8,6,19.8,1.1
"00ASHE",27.3,5.5,23.7,1
"00ATFY",26.9,5.1,24,1.1
"00ATFZ",37.7,3.9,17.2,0.8
"00ATGA",16.4,2.3,9.3,0.9
"00ATGB",18.5,2.9,9.2,1
"00ATGC",29.1,6,20.2,1
"00ATGD",22.3,4.6,26.1,1.1
"00ATGE",27.2,4.5,20.5,1
"00ATGF",38.6,6.7,26.4,1
"00ATGG",21.3,3.8,23.4,1.1
"00ATGH",19.5,4.6,17.3,1.1
"00ATGJ",15.7,4.6,16.1,1.2
"00ATGK",33.7,7,21.8,1.1
"00ATGL",16.9,3.9,12.8,0.7
"00ATGM",20,6,15.7,0.9
"00ATGN",5.1,2.9,15.7,1.3
"00ATGP",18.9,4.6,16.3,0.9
"00ATGQ",34.1,4.9,19.9,0.9
"00ATGR",6.9,3.3,10.8,1.2
"00ATGS",27.4,4.1,16.4,0.9
"00ATGT",14.7,2.7,9.9,0.8
"00AUFX",38.5,5,16.3,0.5
"00AUFY",47.3,6.5,15.8,0.3
"00AUFZ",44.7,6.3,21,0.4
"00AUGA",47.2,6.8,19.2,0.4
"00AUGB",42.3,5.6,15.1,0.4
"00AUGC",43.4,9.6,20.6,0.3
"00AUGD",31.1,4.7,13.4,0.5
"00AUGE",33.5,6,12.6,0.4
"00AUGF",45.3,7.6,17.9,0.5
"00AUGG",46.5,6.2,18.8,0.4
"00AUGH",43.3,6.9,16.8,0.4
"00AUGJ",47,6.8,17.4,0.4
"00AUGK",38,6.9,16.5,0.5
"00AUGL",41.5,5.1,15.5,0.4
"00AUGM",40.4,5.9,17.3,0.4
"00AUGN",41.9,7.8,17.3,0.4
"00AWFY",9.4,2.8,6.3,0.6
"00AWFZ",12.3,1.4,6.6,0.6
"00AWGA",7,1.5,4.5,0.7
"00AWGB",45.2,6.4,13.1,0.4
"00AWGC",9.1,2.7,3.8,0.5
"00AWGD",43.4,4.8,15.4,0.5
"00AWGE",22.7,5.1,8.4,0.4
"00AWGF",67.8,12.1,22.5,0.4
"00AWGG",16.4,2.2,9.2,0.6
"00AWGH",11.9,3.1,7,0.7
"00AWGJ",38.5,5.4,14.2,0.6
"00AWGK",55.8,9.3,19.4,0.5
"00AWGL",12.7,2.7,6.2,0.5
"00AWGM",4,1.5,3.8,0.6
"00AWGN",10.4,2.6,5.2,0.6
"00AWGP",13.6,1.8,9,0.8
"00AWGQ",58.7,9.4,21.5,0.5
"00AWGR",13.1,2,7.3,0.7
"00AXFX",4.9,2.1,15.8,1.4
"00AXFY",17.4,2.4,11.9,1
"00AXFZ",11.5,2.9,15.2,1
"00AXGA",12.5,1.9,9,0.9
"00AXGB",14.8,2.8,21.9,1.3
"00AXGC",11.7,2.1,19.1,1.4
"00AXGD",11.6,2.3,10.7,1.3
"00AXGE",6.9,1.8,11.7,1.2
"00AXGF",13.2,2.2,8.5,0.8
"00AXGG",31.2,4.9,17.7,0.8
"00AXGH",9.1,2.3,15.7,1.4
"00AXGJ",9.3,2.3,15.9,1.3
"00AXGK",6.7,2.9,6.7,0.9
"00AXGL",7.5,1.7,10.7,1
"00AXGM",10.7,2.7,18.4,1.2
"00AXGN",7.5,1.9,10.1,1.2
"00AYFZ",41.8,6.9,14.5,0.4
"00AYGA",32.2,7.9,13.8,0.5
"00AYGB",23.7,3.8,8.3,0.7
"00AYGC",29.7,5.1,10.9,0.5
"00AYGD",59.1,15,17.6,0.4
"00AYGE",37.4,6.6,13.3,0.4
"00AYGG",31.8,8.5,12.2,0.5
"00AYGH",30.6,9.1,15.9,0.6
"00AYGJ",41.4,7.3,13.9,0.4
"00AYGK",34.8,6,13,0.4
"00AYGL",47.1,8.9,16.3,0.4
"00AYGM",14,7.3,12.6,0.6
"00AYGN",45,9.2,16.2,0.4
"00AYGP",24.9,6.5,13.5,0.6
"00AYGQ",15.5,7.6,17,0.8
"00AYGR",20.8,6.2,13.9,0.6
"00AYGS",39.1,5.9,14.2,0.6
"00AYGT",27.1,5.9,12.7,0.7
"00AYGU",43.2,11,14.7,0.5
"00AYGW",53.2,11,16,0.4
"00AZGD",44,9.5,25.4,0.7
"00AZGE",28.8,4.7,13.2,0.7
"00AZGF",30.1,8.4,11.8,0.5
"00AZGG",12.6,6.5,17.3,0.9
"00AZGH",16.8,5.9,15.3,0.7
"00AZGJ",40.9,9.9,30.2,0.7
"00AZGK",57.3,10.2,19.1,0.4
"00AZGL",26.4,7.6,13.9,0.7
"00AZGM",26.7,7.1,22.5,0.9
"00AZGN",23.6,6.1,12.8,0.7
"00AZGP",21.2,6.3,14.6,0.7
"00AZGQ",27.4,8.2,16.1,0.5
"00AZGR",40.5,10,17.9,0.5
"00AZGS",26.5,7.1,16.2,0.7
"00AZGT",26.9,9.2,18,0.6
"00AZGU",34.7,8,18.7,0.7
"00AZGW",36.6,8.2,14.4,0.6
"00AZGX",34.5,8.8,25.9,0.8
"00BAFX",14.1,2,10.1,0.7
"00BAFY",5.5,2.9,17,1.2
"00BAFZ",12.6,3.5,13.3,0.7
"00BAGA",36.9,10.1,24.5,0.7
"00BAGB",3.7,1.4,7.8,0.8
"00BAGC",27.3,9.1,21,0.8
"00BAGD",3.9,6,15.8,0.9
"00BAGE",9.9,1.2,6.4,0.8
"00BAGF",20.4,5.7,18.1,0.8
"00BAGG",10.6,6,19.1,1
"00BAGH",4.1,3.1,20.9,1.3
"00BAGJ",3.9,2.5,11.5,1
"00BAGK",24.1,8.4,21.7,1
"00BAGL",25.1,6.8,23.7,0.9
"00BAGM",10.7,1.8,9.7,1
"00BAGN",31,6.2,23.7,0.9
"00BAGP",11.9,2.8,9.2,0.8
"00BAGQ",5.6,0.9,6.8,1.4
"00BAGR",5.2,2.4,13.9,1.1
"00BAGS",8.3,2,7.8,1
"00BBGB",36.5,6.5,19.2,0.7
"00BBGC",25.8,9.8,22.4,0.6
"00BBGD",49.3,14.4,25.7,0.5
"00BBGE",36,9.2,22.6,0.5
"00BBGF",41.4,9.5,25.3,0.7
"00BBGG",15.7,8.4,19.3,0.6
"00BBGH",17.6,8.9,19.9,0.7
"00BBGJ",31.1,10.4,24.3,0.7
"00BBGK",28.9,8.7,17.8,0.6
"00BBGL",26.4,9.8,17.6,0.6
"00BBGM",12.8,9.5,20.3,0.6
"00BBGN",13.5,9.7,21.6,0.7
"00BBGP",30.1,12,23.2,0.6
"00BBGQ",22.5,10.9,20.7,0.7
"00BBGR",41.7,11.3,23.6,0.5
"00BBGS",25.1,10.5,21.8,0.6
"00BBGT",30.8,5.6,14.1,0.7
"00BBGU",31.8,7,13.9,0.4
"00BBGW",17.7,8.4,19.6,0.7
"00BBGX",40.9,10.9,20.9,0.5
"00BCFY",11.3,5.3,19.6,1.1
"00BCFZ",4.7,4.2,17.2,1.2
"00BCGA",13.8,4.5,19.9,1.1
"00BCGB",10,6.5,18.5,1
"00BCGC",8.2,3.7,12.3,1.1
"00BCGD",4.9,3.6,17,1.4
"00BCGE",10.7,9.1,18.6,0.8
"00BCGF",5.3,5.1,17.6,1.2
"00BCGG",9.7,5.2,21.2,1.2
"00BCGH",14.9,6.1,23.4,1.2
"00BCGJ",8.5,8.4,18.1,1
"00BCGK",27.3,8.4,28.9,1
"00BCGL",22.8,10.7,20.1,0.7
"00BCGM",7.6,7,20.5,1.2
"00BCGN",4.4,1.9,15,1.4
"00BCGP",10,6.5,17.4,1.1
"00BCGQ",15.9,5,15.9,1.1
"00BCGR",8.2,8,18.4,1
"00BCGS",11.8,2.8,14.9,1
