"Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"00BKGW",23.5,3.4,9.6,0.4
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
"",NA,NA,NA,NA
