X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
49,"Richmond upon Thames - Ham, Petersham & Richmond Riverside","Ham, Petersham & Richmond Riverside",10317,68.8,78.3,86.4,19.12377629,16.7,15.9,30.5,7.6,"Ham, Petersham & Richmond Riverside"
50,Merton - Abbey,Abbey,10323,52.6,80,81,15.73186089,8.5,26.6,38.3,12.5,Abbey
51,Richmond upon Thames - Teddington,Teddington,10330,51.9,81.9,83.4,18.93514037,13.6,8.9,17.8,4.1,Teddington
52,Richmond upon Thames - East Sheen,East Sheen,10348,85.9,84.5,88.5,22.90297642,13.9,9.3,23.6,5.5,East Sheen
53,Sutton - Sutton North,Sutton North,10355,60.5,76.9,82.9,20.13520039,16.5,21.9,21.1,6.1,Sutton North
54,Kingston upon Thames - Coombe Hill,Coombe Hill,10357,43.9,80.4,83,18.8181906,14.4,35.5,40.6,13.9,Coombe Hill
55,Westminster - Marylebone High Street,Marylebone High Street,10366,36.5,84.4,83.9,8.527879606,11.7,27.8,58.5,21.8,Marylebone High Street
56,Harrow - West Harrow,West Harrow,10373,60.8,81.4,82.6,20.30270896,13,55.8,42.9,14.4,West Harrow
57,Hillingdon - Ickenham,Ickenham,10387,57.1,81.9,85.4,18.63868297,19.9,21.8,15.9,2.8,Ickenham
58,Richmond upon Thames - Twickenham Riverside,Twickenham Riverside,10396,73.8,78.4,81,17.13158907,12.4,10.3,26.8,7.2,Twickenham Riverside
59,Greenwich - Eltham West,Eltham West,10399,47.9,74.2,81.7,21.99249928,12.3,24.6,21.3,6.4,Eltham West
60,Harrow - Pinner South,Pinner South,10411,61.1,82.7,93.1,21.16031121,17.1,40.6,29.4,6.8,Pinner South
61,Bexley - Barnehurst,Barnehurst,10418,61,78.6,85.8,18.9671722,18.2,9.8,8,1.3,Barnehurst
62,Redbridge - Monkhams,Monkhams,10422,53.7,80.9,82.5,16.97370946,20.7,21.1,18.8,3.8,Monkhams
63,Bexley - Longlands,Longlands,10442,52.5,79.6,81.3,16.29955947,21.7,9.4,9.9,2.1,Longlands
64,Kingston upon Thames - Surbiton Hill,Surbiton Hill,10459,54.2,79.1,81.9,16.70331772,13.5,19,25,7,Surbiton Hill
65,Hillingdon - Northwood,Northwood,10469,50.4,81.4,83.9,15.82768173,20.9,34.8,31.8,7,Northwood
66,Richmond upon Thames - West Twickenham,West Twickenham,10528,88.4,79.2,83.4,21.78951368,11.7,16,21.1,4.4,West Twickenham
67,Sutton - Sutton West,Sutton West,10536,63.2,79.4,82.2,18.07137434,13.9,23,25.1,7.8,Sutton West
68,Bexley - Brampton,Brampton,10546,43.9,80.4,84.9,17.24824578,20.9,13.1,10.4,1.6,Brampton
69,Westminster - West End,West End,10575,38.1,93.2,99.6,7.914893617,10.9,32.4,56.8,24.2,West End
70,Bexley - Northumberland Heath,Northumberland Heath,10598,50,78.5,82.9,20.61709757,15.1,14.5,9.8,1.9,Northumberland Heath
71,Hillingdon - West Ruislip,West Ruislip,10611,55.8,80.4,85.3,17.85882575,16.8,18,18.4,3.9,West Ruislip
72,Westminster - Little Venice,Little Venice,10633,70,80.2,92.5,17.20116618,9.8,35.6,52.6,19.9,Little Venice
73,Sutton - Nonsuch,Nonsuch,10641,52,81.6,87.4,18.55088807,17.3,15.3,15.7,3.6,Nonsuch
74,Richmond upon Thames - North Richmond,North Richmond,10649,76.4,83.8,86.1,18.65902902,13.1,15.7,28.3,6.8,North Richmond
75,Sutton - Wallington North,Wallington North,10650,77.5,78.9,81.3,19.91549296,12.5,19.6,16.6,4.4,Wallington North
76,Sutton - Beddington South,Beddington South,10667,59.6,76.9,83.7,22.03993625,13.9,28.8,20.1,4.2,Beddington South
77,Newham - Royal Docks,Royal Docks,10679,63.9,80.6,83.1,21.06938852,4,54.1,48.3,18.1,Royal Docks
78,Harrow - Hatch End,Hatch End,10693,55.3,82,84.3,18.68512111,19.8,43.3,33,9.1,Hatch End
79,Merton - Colliers Wood,Colliers Wood,10712,62.9,77.6,83.3,14.1896938,8.1,40.1,47.2,16.3,Colliers Wood
80,Sutton - Stonecot,Stonecot,10712,45.6,78.7,85.2,20.58439134,14.5,20.9,18.1,5.2,Stonecot
81,Waltham Forest - Endlebury,Endlebury,10730,54.9,80.4,84.4,18.61136999,16.9,22.4,17.5,3.8,Endlebury
