,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
256,Camden - Kentish Town,13417,55.2,73.5,78.4,15.800849668331198,9.6,28.4,34.2,10.4
257,Brent - Dollis Hill,13425,81.2,79.8,87.5,25.065176908752303,11.3,64.3,54.5,22.0
258,Haringey - White Hart Lane,13431,73.0,74.2,79.0,27.4067455885638,8.4,52.5,44.6,19.2
259,Greenwich - Shooters Hill,13433,87.2,78.0,86.2,20.7474130871734,12.4,33.5,23.8,5.2
260,Southwark - Surrey Docks,13435,57.5,85.5,82.9,12.169705991812402,5.7,30.9,42.7,15.4
261,Ealing - Southall Broadway,13439,103.1,81.2,82.4,21.1846119502939,10.5,93.7,64.1,36.0
262,Brent - Fryent,13445,94.0,82.2,90.2,20.8627742655262,11.8,62.7,55.9,21.9
263,Croydon - Coulsdon West,13449,58.7,80.0,82.8,20.1055840582943,15.3,25.2,16.9,2.4
264,Hillingdon - Barnhill,13449,75.1,75.6,82.5,24.3215108930032,9.6,68.4,45.4,19.0
265,Ealing - Southfield,13474,74.3,80.7,86.7,17.307406857651802,10.0,20.8,36.2,10.7
266,Ealing - Northfield,13517,63.4,84.2,85.2,18.8281423392765,11.0,23.2,36.2,11.1
267,Southwark - Peckham Rye,13518,75.6,75.6,81.2,20.2914632342062,8.0,35.8,28.8,5.9
268,Camden - Regent's Park,13528,53.5,74.8,83.8,15.915138971023099,9.6,44.3,45.2,15.6
269,Havering - South Hornchurch,13544,63.2,76.9,81.8,21.0351447135263,16.6,16.4,11.8,2.5
270,Hounslow - Syon,13554,80.3,73.0,79.4,19.1382617677438,9.5,34.2,36.7,13.5
271,Hillingdon - Yeading,13586,105.9,78.4,82.4,25.813337258943,7.6,64.1,42.7,17.4
272,Southwark - Nunhead,13620,70.4,71.2,77.3,19.6182085168869,8.9,55.5,39.0,9.1
273,Waltham Forest - Markhouse,13636,97.6,75.9,78.0,23.166617776474,7.8,58.2,45.8,19.0
274,Lambeth - Thurlow Park,13641,61.1,76.8,84.0,21.0615057547101,8.8,36.3,30.3,8.7
275,Hackney - De Beauvoir,13643,53.7,77.7,81.5,16.103496298468098,7.0,39.9,37.8,11.7
276,Hackney - Queensbridge,13670,69.8,75.9,82.6,17.542062911485,8.2,44.7,38.3,11.8
277,Redbridge - Mayfield,13672,111.4,78.1,82.9,24.2612638970158,11.6,73.3,41.1,13.5
278,Tower Hamlets - Bethnal Green North,13683,54.5,73.6,78.6,18.5558722502375,7.0,49.4,38.7,15.0
279,Lambeth - Gipsy Hill,13712,70.1,77.2,83.0,22.4912485414236,8.1,44.9,30.6,7.7
280,Haringey - Bounds Green,13725,61.9,74.2,81.6,18.6739526411658,9.2,39.8,48.5,21.5
281,Southwark - Rotherhithe,13743,54.8,76.3,79.2,17.2378665502438,7.4,40.9,43.4,15.2
282,Brent - Welsh Harp,13753,85.0,81.2,88.5,21.3480695121064,11.4,61.3,55.0,22.9
283,Enfield - Chase,13762,63.5,76.8,80.8,22.1915419270455,13.2,23.4,21.0,7.0
284,Southwark - South Bermondsey,13780,60.5,77.2,81.1,20.5297532656023,7.2,44.8,41.1,14.6
285,Enfield - Southgate Green,13787,57.8,78.2,85.2,18.1112642344237,15.3,33.2,36.2,14.0
286,Enfield - Cockfosters,13788,46.1,81.5,86.8,17.2251232956194,19.0,26.3,30.5,9.5
287,Lambeth - Clapham Town,13795,37.9,75.5,81.7,14.5922435665096,7.3,29.3,35.2,7.8
288,Waltham Forest - Cann Hall,13799,106.8,77.0,81.3,21.689977534604,7.1,57.0,48.8,18.2
289,Hillingdon - Brunel,13841,47.2,78.2,83.4,15.526334802398699,11.1,38.2,29.3,9.8
290,Newham - East Ham North,13866,92.8,71.3,76.9,21.8736477715275,7.9,90.8,60.2,31.5
291,Islington - Caledonian,13896,49.2,75.5,81.9,15.2489925158319,9.0,34.7,37.3,14.4
292,Ealing - Lady Margaret,13897,91.3,78.2,81.9,20.1986040152551,11.0,83.5,55.9,25.2
293,Hackney - Haggerston,13904,39.8,73.8,84.1,15.9882048331415,5.7,45.6,45.9,17.4
294,Ealing - Dormers Wells,13910,76.8,77.0,82.3,22.393961179007896,11.6,82.1,56.0,29.1
295,Waltham Forest - Hoe Street,13912,79.1,75.9,81.7,21.075330649798698,8.8,49.9,42.8,17.2
296,Enfield - Bush Hill Park,13923,61.1,79.6,84.0,18.0205415499533,17.2,26.8,25.7,7.7
297,Haringey - Noel Park,13939,53.0,74.8,84.7,19.097496233589197,8.5,45.2,51.7,25.4
298,Hillingdon - Uxbridge South,13979,36.6,75.1,81.8,13.2627512697618,9.6,37.9,30.9,10.0
299,Brent - Alperton,14017,87.6,76.7,87.0,19.0054933295284,9.5,81.8,66.8,32.3
300,Ealing - Ealing Common,14019,49.6,77.0,86.3,15.222198444967502,11.3,31.5,43.1,15.4
301,Ealing - Ealing Broadway,14029,49.7,79.7,85.0,14.5484353838477,11.9,30.5,44.3,18.6
302,Ealing - Norwood Green,14032,70.7,78.2,79.9,20.6242873432155,10.7,78.0,50.7,25.6
303,Hackney - Leabridge,14039,71.9,73.7,78.1,21.091245815229,7.0,52.7,40.7,17.3
304,Lewisham - Blackheath,14039,56.8,77.4,82.4,18.3845003205357,10.9,30.2,29.3,7.4
305,Greenwich - Peninsula,14051,68.2,74.6,85.1,16.9240623443171,8.3,30.6,33.0,10.4
306,Enfield - Bowes,14051,85.4,78.5,83.8,17.2443242473845,10.6,38.6,47.5,23.3
307,Waltham Forest - Chapel End,14086,103.4,75.8,86.7,24.116143688769004,8.0,48.5,36.9,14.1
308,Hillingdon - Townfield,14106,94.6,74.8,79.4,23.1958032043102,9.8,62.9,44.7,18.1
309,Redbridge - Valentines,14123,99.7,75.9,86.4,24.031721305671603,8.7,77.6,50.3,21.0
310,Waltham Forest - High Street,14127,97.4,78.4,81.7,19.5087421250088,7.6,50.7,44.4,18.0
311,Southwark - Livesey,14129,80.0,77.0,81.5,23.568546960152897,9.1,62.2,44.3,11.9
312,Southwark - Newington,14136,48.1,77.5,83.2,17.282116581777,8.5,48.2,42.5,13.6
313,Lambeth - Vassall,14143,47.1,74.3,82.1,18.0159796365693,7.2,52.7,40.0,12.1
314,Wandsworth - Shaftesbury,14160,51.0,80.8,84.9,12.718926553672302,7.7,18.8,29.0,5.7
315,Tower Hamlets - Bethnal Green South,14166,51.0,77.1,87.3,19.709162784131,5.3,64.3,45.5,23.1
316,Waltham Forest - Leyton,14184,83.6,79.0,80.7,24.280879864636198,7.4,63.5,48.8,20.8
317,Ealing - Hobbayne,14229,77.7,77.5,86.0,22.6017288635884,11.3,37.7,40.7,17.2
318,Lewisham - Whitefoot,14249,71.4,77.5,82.7,25.791283598849002,11.3,50.5,29.5,6.8
319,Redbridge - Chadwell,14257,90.5,77.9,81.8,24.668583853545602,10.3,56.9,31.6,9.9
320,Lambeth - Prince's,14262,65.9,74.5,81.5,16.8980507642687,9.3,43.4,38.5,12.4
321,Lambeth - Streatham Hill,14263,57.1,76.4,79.9,18.3201290051181,8.4,37.9,37.8,12.4
322,Croydon - Shirley,14296,71.4,83.0,85.4,20.628147733631803,16.7,30.9,19.7,3.9
323,Greenwich - Kidbrooke with Hornfair,14300,73.2,76.2,84.1,20.3216783216783,11.9,33.6,27.3,7.6
324,Lambeth - Streatham South,14336,69.3,81.3,84.5,20.6682477678571,10.9,52.5,44.5,15.8
325,Ealing - Greenford Green,14349,94.4,79.0,84.0,20.9631333193951,11.9,49.0,50.1,21.9
326,Hounslow - Brentford,14353,62.7,76.7,85.7,17.9126315056086,9.9,33.9,38.3,15.0
327,Enfield - Jubilee,14355,92.0,77.2,82.2,23.7965865552072,11.9,50.9,40.8,16.9
328,Islington - Finsbury Park,14358,46.8,74.2,78.8,18.4148210057111,8.5,42.9,41.6,17.5
329,Hillingdon - West Drayton,14370,77.9,75.3,81.9,22.7557411273486,11.5,33.5,27.6,9.2
330,Enfield - Turkey Street,14377,74.1,76.2,81.4,25.512972108228396,11.5,37.9,31.0,14.1
331,Greenwich - Charlton,14385,89.3,74.1,79.9,21.8143899895725,10.7,36.2,31.0,9.4
332,Southwark - Riverside,14390,50.0,78.0,80.8,12.4461431549687,6.4,31.2,40.5,12.7
333,Enfield - Southgate,14454,67.0,81.1,85.4,18.8390756883908,14.1,31.6,33.2,11.7
334,Tower Hamlets - Bromley-by-Bow,14480,80.8,76.3,83.0,26.7334254143646,5.8,70.4,43.5,22.0
335,Haringey - Bruce Grove,14483,83.9,75.2,83.0,22.460816129255,8.4,55.9,55.5,23.5
336,Enfield - Southbury,14506,87.5,79.6,81.3,24.982765752102605,9.5,36.2,30.2,12.0
337,Haringey - Woodside,14514,59.0,74.0,84.4,19.1883698498002,8.5,43.2,54.2,25.6
338,Lewisham - Ladywell,14515,63.6,74.5,79.2,18.325869789872502,8.9,45.4,35.4,9.4
339,Ealing - Elthorne,14539,71.4,74.8,85.5,19.698741316459202,9.7,34.9,40.6,16.9
340,Redbridge - Aldborough,14544,69.2,77.4,82.2,23.0060506050605,12.4,61.3,38.4,12.8
341,Ealing - Cleveland,14558,59.1,76.8,85.9,21.706278334936105,11.9,36.9,39.6,15.1
342,Lewisham - Downham,14567,66.7,74.3,81.8,24.7065284547264,12.7,41.7,24.8,6.2
343,Lewisham - Lee Green,14573,78.0,77.1,81.2,19.309682289164897,10.9,33.7,28.9,8.1
344,Wandsworth - Bedford,14575,51.1,78.2,82.6,14.6415094339623,7.5,27.6,30.3,8.3
345,Ealing - Southall Green,14579,111.7,75.9,87.1,22.326634199876498,8.2,91.4,63.3,36.7
346,Haringey - Tottenham Green,14580,64.6,72.5,82.8,20.418381344307303,8.2,52.8,55.0,25.8
347,Waltham Forest - Grove Green,14604,80.5,74.4,80.8,19.042728019720602,7.1,53.2,53.0,21.2
348,Croydon - Purley,14607,79.6,79.6,83.6,19.4632710344355,15.0,31.6,23.1,5.0
349,Wandsworth - Fairfield,14613,46.2,77.2,80.3,12.6736467528913,6.7,22.1,32.5,7.1
350,Islington - Bunhill,14639,44.5,75.5,82.1,13.4503722931894,7.9,34.5,41.9,16.6
351,Lewisham - Grove Park,14648,66.4,77.2,82.2,20.8287820862916,12.6,37.5,26.9,7.0
352,Redbridge - Clementswood,14666,93.1,76.7,81.2,26.639847265784802,7.4,84.2,55.6,25.1
353,Wandsworth - Nightingale,14679,63.3,75.3,79.2,16.2068260780707,9.5,21.4,27.7,6.7
354,Havering - Gooshays,14692,68.6,76.3,80.4,23.2371358562483,12.9,12.8,10.7,2.6
355,Ealing - North Greenford,14713,87.7,79.8,87.4,20.288180520628,11.4,56.4,51.4,22.1
356,Southwark - Peckham,14720,89.0,75.8,77.8,24.2663043478261,6.2,70.8,47.6,12.3
357,Croydon - Ashburton,14721,60.0,78.5,82.3,21.7784117926771,13.2,36.7,22.3,4.8
358,Brent - Wembley Central,14727,88.1,76.8,88.2,18.2114483601548,9.7,86.0,68.5,32.9
359,Hounslow - Hounslow Heath,14727,97.2,76.0,87.6,23.114008284104,7.8,72.6,58.0,27.7
360,Hackney - Dalston,14727,57.2,80.9,79.8,16.4595640660012,6.2,44.5,40.8,14.0
361,Wandsworth - West Putney,14742,50.4,75.6,79.9,17.799484466151103,13.3,22.9,34.4,9.5
362,Wandsworth - Balham,14751,59.5,79.3,84.4,15.687072062911,7.8,19.4,28.5,6.5
363,Lambeth - Knight's Hill,14763,73.7,74.4,79.4,23.2473074578338,9.0,47.7,35.3,11.6
364,Hillingdon - Pinkwell,14767,94.4,74.5,86.2,26.335748628699104,8.6,68.2,45.3,18.5
365,Lewisham - Bellingham,14775,76.6,75.2,79.1,25.1573604060914,10.2,51.3,29.6,6.2
366,Tower Hamlets - Bow East,14781,64.2,71.3,80.8,17.4616061159597,7.4,39.9,30.9,10.9
367,Newham - Canning Town North,14810,72.4,74.6,75.9,22.9574611748818,7.7,59.2,47.9,18.6
368,Bromley - Chislehurst,14831,59.7,81.2,83.0,17.982604005124397,21.5,12.0,12.7,1.9
369,Wandsworth - Thamesfield,14842,63.7,81.4,82.9,15.1731572564344,8.8,12.3,31.4,5.8
370,Newham - Wall End,14846,89.0,78.6,80.3,25.239121648929,6.5,82.2,59.8,29.7
371,Lewisham - Forest Hill,14854,74.1,76.5,80.4,21.1188905345362,10.0,38.2,31.1,8.2
372,Tower Hamlets - Whitechapel,14862,66.9,73.6,83.2,16.3706096083973,5.6,60.2,48.8,24.8
373,Ealing - South Acton,14873,62.9,76.4,79.8,20.453170174141103,11.1,43.5,50.5,23.4
374,Bromley - West Wickham,14884,52.2,80.9,84.7,19.8535339962376,19.7,10.6,9.7,1.3
375,Enfield - Town,14906,61.6,79.9,83.8,20.1730846638937,14.9,18.0,17.1,4.4
376,Lambeth - Streatham Wells,14906,68.6,75.4,77.7,19.327787468133604,8.3,43.1,41.2,14.2
377,Brent - Kensal Green,14915,94.6,76.7,83.1,19.5507877975193,9.0,52.3,50.2,21.9
378,Lewisham - Rushey Green,14916,78.2,75.2,80.1,22.036739072137298,9.0,59.1,38.0,10.2
379,Lewisham - Crofton Park,14937,84.4,78.5,86.4,19.5353819374707,9.1,39.6,30.1,7.0
380,Wandsworth - Northcote,14940,72.9,80.1,81.1,19.0361445783133,6.0,14.9,28.9,5.7
381,Southwark - Cathedrals,14941,26.6,75.0,93.3,10.6887089217589,7.4,38.4,40.0,10.4
382,Brent - Sudbury,14950,115.0,80.5,84.8,20.6622073578595,10.5,77.3,62.2,28.4
383,Havering - Brooklands,14957,67.1,73.8,77.7,21.0670589021863,13.5,22.3,17.4,4.4
384,Croydon - Kenley,14966,76.0,78.0,80.7,20.7603902178271,14.9,23.2,17.9,3.0
385,Islington - Holloway,14983,35.0,72.8,81.1,15.5776546752987,8.2,36.1,39.6,14.9
386,Wandsworth - East Putney,15022,45.7,80.7,85.1,13.273864998002901,11.0,20.6,39.4,9.3
387,Islington - Highbury West,15030,54.4,75.3,85.1,15.189620758483,6.7,32.1,34.5,12.8
388,Southwark - Camberwell Green,15032,69.6,74.4,85.1,21.1881319850985,7.4,61.1,46.8,13.4
389,Lambeth - Ferndale,15032,37.5,74.8,82.6,12.5598722724854,6.2,40.4,41.7,11.8
390,Hillingdon - Botwell,15034,94.5,75.6,82.0,24.9634162564853,9.1,60.2,42.7,17.9
391,Brent - Dudden Hill,15059,76.0,85.3,88.1,20.399760940301498,9.7,55.9,56.2,23.8
392,Haringey - Tottenham Hale,15064,69.1,75.7,78.3,23.645778013807803,7.8,57.4,53.5,22.3
393,Bromley - Bickley,15098,57.7,78.3,81.5,19.2210888859452,19.8,14.5,15.7,2.7
394,Brent - Tokyngton,15105,99.6,80.5,86.6,18.417742469381,11.3,76.3,62.9,26.6
395,Lambeth - Oval,15106,42.1,77.1,79.8,13.9944392956441,7.2,36.9,42.6,15.0
396,Lambeth - Herne Hill,15107,67.3,74.3,82.8,18.3689680280665,7.2,39.6,35.3,10.8
397,Tower Hamlets - Shadwell,15110,78.3,81.0,95.2,22.3891462607545,6.3,64.4,45.1,23.2
398,Newham - Green Street West,15113,86.8,80.7,86.6,21.015020181300898,7.4,89.3,61.1,32.7
399,Ealing - Northolt West End,15121,102.2,78.6,86.0,25.553865485086998,9.8,55.1,41.5,18.6
400,Newham - Beckton,15141,55.1,81.9,82.6,21.9932633247474,4.8,54.2,49.7,23.5
401,Brent - Queensbury,15155,73.2,85.1,85.8,20.0857802705378,12.2,72.9,57.7,24.1
402,Barnet - Totteridge,15159,68.7,80.3,83.0,20.1068672075994,16.8,34.3,37.6,13.7
403,Enfield - Palmers Green,15162,64.8,78.9,83.3,18.8431605329112,13.3,35.4,41.4,18.1
404,Redbridge - Seven Kings,15164,82.3,78.0,79.7,24.2152466367713,9.2,76.7,47.6,19.3
405,Hounslow - Hounslow Central,15169,81.6,78.5,87.0,18.5312149779155,9.5,70.7,64.5,29.5
406,Hackney - Hoxton,15174,47.7,77.9,84.0,15.862659812837698,6.2,46.5,44.8,16.6
407,Southwark - Chaucer,15178,36.3,88.5,97.5,14.824087495058599,5.2,49.9,45.2,13.3
408,Ealing - Northolt Mandeville,15183,91.7,77.6,85.0,23.506553382072102,10.7,51.7,44.1,19.5
409,Wandsworth - Graveney,15198,63.8,76.9,84.0,17.8707724700618,8.8,46.4,42.4,14.4
410,Lewisham - Catford South,15214,68.9,77.4,81.4,21.4670698041278,11.3,56.2,32.2,7.1
411,Wandsworth - Wandsworth Common,15247,72.8,76.7,79.6,18.6922017446055,8.1,17.8,25.7,4.5
412,Brent - Queens Park,15281,76.3,80.4,87.9,17.983116288201,8.6,37.0,41.9,14.4
413,Barnet - High Barnet,15307,56.5,78.2,82.3,18.455608545110103,16.5,18.3,22.1,6.3
414,Bromley - Orpington,15311,57.0,79.1,84.6,19.1626934883417,21.2,12.6,11.9,2.3
415,Newham - Manor Park,15318,97.6,75.3,79.5,23.5082908995952,7.1,81.5,56.2,27.6
416,Ealing - Perivale,15339,88.3,82.6,87.0,20.1251711324076,11.0,54.6,55.4,26.7
417,Wandsworth - Latchmere,15358,59.1,73.0,81.5,18.9608021877849,8.5,44.5,39.7,11.5
418,Southwark - Grange,15362,59.7,77.9,81.1,14.106236167165699,6.5,39.1,38.3,10.8
419,Bromley - Copers Cope,15392,61.5,77.4,82.4,13.169178794178801,16.8,17.4,20.3,4.6
420,Ealing - Acton Central,15427,75.1,81.3,90.7,19.66033577494,9.6,40.0,48.3,21.0
421,Bromley - Cray Valley East,15445,70.1,77.6,81.1,22.1819359015863,15.9,14.6,12.3,2.5
422,Wandsworth - Earlsfield,15448,68.1,76.1,84.2,14.9598653547385,6.7,27.7,33.4,8.2
423,Newham - Plaistow North,15470,96.0,75.3,82.2,23.6005171299289,7.1,73.4,52.1,23.6
424,Brent - Preston,15474,100.4,80.1,86.2,20.427814398345603,12.4,70.0,57.3,22.8
425,Wandsworth - Furzedown,15504,74.2,77.2,81.4,22.045923632610897,9.8,43.1,36.7,12.9
426,Brent - Mapesbury,15529,72.6,78.6,86.0,16.066713890141,8.3,43.4,52.3,21.3
427,Hounslow - Feltham West,15541,93.6,77.1,82.7,24.9919567595393,6.3,35.5,32.3,14.2
428,Newham - West Ham,15551,64.1,77.2,80.9,21.5998971127259,7.0,65.5,51.2,22.1
429,Bromley - Clock House,15560,77.7,78.8,84.7,19.7879177377892,11.5,20.6,17.3,3.9
430,Ealing - Hanger Hill,15561,71.1,83.2,88.2,18.9705031810295,12.8,43.1,53.1,23.8
431,Southwark - The Lane,15565,87.8,74.5,83.8,19.8393832316094,9.1,50.7,37.7,8.5
432,Newham - East Ham South,15575,100.0,74.9,80.2,27.8523274478331,7.4,67.7,46.6,19.7
433,Brent - Willesden Green,15587,54.4,78.2,88.1,19.1634054019375,7.6,52.7,56.3,25.9
434,Lewisham - Sydenham,15605,71.8,75.4,80.3,20.1666132649792,11.9,41.8,30.2,7.1
435,Lewisham - Perry Vale,15618,73.5,76.2,80.8,20.687668075297697,9.6,42.5,30.5,7.2
436,Enfield - Ponders End,15664,61.6,77.6,80.8,25.9001532175689,9.1,54.6,43.5,19.0
437,Waltham Forest - Lea Bridge,15671,107.0,73.2,77.7,23.891264118435302,8.4,64.8,50.4,21.2
438,Greenwich - Abbey Wood,15704,105.3,74.3,81.1,26.853031074885397,9.6,46.3,32.0,7.6
439,Barnet - Finchley Church End,15715,72.1,82.4,86.3,18.7527839643653,16.5,33.1,40.9,14.5
440,Lewisham - New Cross,15756,74.9,73.7,78.2,20.1891342980452,5.9,59.7,46.6,15.3
441,Lambeth - Tulse Hill,15771,63.2,77.4,81.4,21.0259336757339,6.6,52.6,38.6,11.3
442,Brent - Barnhill,15772,79.0,79.6,82.7,20.8787725082425,12.3,69.7,56.5,22.9
443,Croydon - Croham,15790,77.8,78.9,83.3,18.2457251424953,12.0,31.3,24.3,6.5
444,Barnet - Oakleigh,15811,72.5,78.9,84.3,19.1006261463538,16.4,26.7,28.5,8.6
445,Lambeth - Brixton Hill,15842,44.5,74.8,78.4,15.7050877414468,7.0,41.5,37.4,11.1
446,Newham - Green Street East,15885,96.4,81.9,83.0,22.259993704752898,5.7,89.9,62.2,33.2
447,Barnet - Underhill,15915,48.9,78.2,82.6,20.5717876217405,16.2,27.3,25.4,6.9
448,Newham - East Ham Central,15917,104.2,75.1,81.7,22.453980021360803,7.1,81.9,61.4,29.1
449,Havering - Romford Town,15921,70.0,76.4,81.0,17.6747691727907,14.0,16.4,16.6,5.6
450,Barnet - Garden Suburb,15929,73.5,82.7,87.3,20.3653713353004,16.3,21.4,36.0,10.9
451,Haringey - Seven Sisters,15968,90.7,77.6,89.3,27.041583166332696,7.3,41.2,49.1,22.5
452,Newham - Boleyn,15982,89.0,75.6,82.4,24.940558127893897,7.5,78.1,54.8,26.4
453,Tower Hamlets - Limehouse,15986,70.3,77.0,79.3,22.275741273614397,6.2,56.8,43.8,19.7
454,Barnet - East Finchley,15989,67.8,79.3,84.9,18.869222590531002,13.0,28.2,34.4,10.4
455,Newham - Canning Town South,15996,59.8,74.5,85.9,21.0865216304076,7.1,54.5,47.5,19.9
456,Enfield - Enfield Highway,16027,70.6,78.1,86.2,26.255693517189698,10.3,42.2,34.3,14.5
457,Croydon - Upper Norwood,16082,82.2,78.1,82.8,20.992413878870803,11.0,51.3,33.9,9.0
458,Wandsworth - Roehampton,16132,48.3,74.1,81.2,18.4540044631788,10.5,34.5,38.6,15.5
459,Barnet - East Barnet,16137,65.8,80.5,84.5,20.7225630538514,13.7,23.4,23.4,7.2
460,Croydon - Bensham Manor,16201,90.1,80.9,84.3,23.060304919449397,9.8,73.5,45.3,12.9
461,Wandsworth - Tooting,16239,57.3,76.0,79.7,17.907506619865803,9.0,52.7,45.4,15.2
462,Wandsworth - Southfields,16256,70.0,78.9,89.8,18.503937007874,7.7,24.4,34.8,9.0
463,Newham - Forest Gate North,16257,69.6,74.2,79.8,21.2708371778311,6.9,64.1,50.5,21.0
464,Enfield - Haselbury,16263,83.4,81.0,83.4,25.4196642685851,9.3,54.3,46.0,22.1
465,Wandsworth - Queenstown,16331,42.0,76.9,84.6,14.1877411058723,7.8,35.7,42.4,15.4
466,Barnet - Brunswick Park,16394,55.2,83.8,83.2,20.6233988044406,14.4,31.6,30.9,10.2
467,Wandsworth - West Hill,16402,56.1,75.8,78.3,18.8452627728326,9.5,31.7,43.5,13.5
468,Newham - Plaistow South,16404,102.3,75.4,83.4,25.1097293343087,6.6,67.3,51.7,21.9
469,Lewisham - Telegraph Hill,16414,53.8,76.4,78.8,19.5321067381504,7.0,49.4,36.9,10.9
470,Enfield - Enfield Lock,16469,91.1,76.4,79.1,27.2876313073046,8.2,45.1,33.8,14.0
471,Croydon - Norbury,16476,73.7,81.5,82.8,21.018451080359302,13.4,62.3,43.6,13.0
472,Croydon - South Norwood,16518,75.6,75.6,84.4,21.297977963433798,9.9,52.3,32.1,8.2
473,Greenwich - Greenwich West,16527,64.3,75.6,82.1,17.4320808374176,7.7,33.3,34.8,9.7
474,Enfield - Lower Edmonton,16531,111.2,75.7,79.8,27.451454842417302,9.2,58.9,46.1,19.5
475,Barnet - West Finchley,16533,64.6,79.9,81.6,17.5588217504385,12.5,39.2,44.7,19.0
476,Croydon - Thornton Heath,16539,87.1,75.6,82.8,25.0256968377774,9.1,67.1,37.6,9.4
477,Croydon - Fairfield,16569,74.2,79.2,80.9,17.587060172611498,11.7,48.7,42.3,13.7
478,Lewisham - Evelyn,16603,65.5,76.7,84.0,23.200626392820602,6.0,60.9,44.8,16.0
479,Newham - Little Ilford,16633,107.8,71.2,78.9,27.782119882162,6.7,82.0,54.5,27.3
480,Barnet - Edgware,16728,76.4,80.1,83.6,23.320181731229102,13.8,39.2,37.4,12.1
481,Greenwich - Plumstead,16736,106.6,74.0,83.3,23.3568355640535,8.6,55.4,41.7,14.6
482,Croydon - Woodside,16743,75.4,79.3,80.6,24.386310697007698,7.9,55.1,28.4,6.3
483,Redbridge - Newbury,16760,84.5,78.8,83.8,25.4474940334129,9.1,77.2,47.5,17.6
484,Bromley - Cray Valley West,16769,68.2,76.6,82.6,23.6269306458346,14.9,13.9,10.9,2.5
485,Lambeth - Coldharbour,16784,63.0,73.1,80.0,21.5622020972355,6.1,62.1,43.7,13.3
486,Bromley - Bromley Town,16826,73.4,78.0,81.1,19.3510043979555,13.9,18.5,19.9,4.9
487,Croydon - Addiscombe,16883,64.9,76.8,81.4,18.6815139489427,9.7,43.6,34.5,10.2
488,Brent - Stonebridge,16903,72.6,75.1,87.9,28.190262083653803,8.7,76.5,48.8,17.2
489,Brent - Kilburn,16989,81.4,76.2,84.2,18.600270763435198,8.6,50.0,48.1,18.4
490,Croydon - Waddon,17077,74.1,74.8,80.1,22.275575335246202,11.0,44.6,30.1,8.9
491,Barnet - Colindale,17098,68.6,76.4,84.6,22.2306702538309,8.4,59.9,52.7,23.2
492,Lewisham - Brockley,17156,53.0,75.0,80.1,15.248309629284199,6.5,43.1,36.8,10.5
493,Brent - Harlesden,17162,106.9,71.9,80.6,25.8652837664608,8.0,67.0,52.9,23.0
494,Lambeth - Larkhall,17243,38.8,74.0,79.2,16.6560343327727,6.2,43.3,42.2,13.0
495,Barnet - Coppetts,17250,72.5,76.7,81.1,19.7101449275362,10.3,35.0,36.1,13.6
496,Newham - Forest Gate South,17362,61.8,74.6,77.2,19.410206197442697,6.5,68.2,54.8,25.5
497,Enfield - Upper Edmonton,17374,88.4,75.4,76.7,25.8432139979279,9.2,58.0,48.4,22.7
498,Barnet - West Hendon,17402,85.8,78.2,84.3,19.8080680381565,11.4,50.6,53.6,24.7
499,Barnet - Hale,17437,90.5,81.2,83.8,23.1060388828354,13.4,40.6,35.7,11.7
500,Lewisham - Lewisham Central,17446,67.4,71.4,77.6,18.3308494783905,8.4,51.6,41.2,12.4
501,Croydon - West Thornton,17489,81.5,77.6,82.5,25.050031448339,9.5,76.5,46.5,15.1
502,Greenwich - Woolwich Common,17499,100.5,73.9,85.4,26.9101091490942,5.9,57.6,41.8,13.6
503,Barnet - Woodhouse,17575,57.8,78.6,81.1,18.7482219061166,13.6,37.6,41.0,16.2
504,Ealing - Greenford Broadway,17625,93.5,77.4,81.2,23.4439716312057,11.0,57.3,48.6,22.2
505,Enfield - Edmonton Green,17949,124.1,74.8,79.6,27.973703270377197,8.4,60.6,46.8,21.4
506,Croydon - Selhurst,18087,77.3,73.9,78.9,24.5535467462819,8.7,65.6,40.1,11.5
507,Greenwich - Glyndon,18171,91.0,73.2,77.4,22.8606020582246,7.1,55.0,42.2,13.8
508,Barnet - Burnt Oak,18217,94.3,74.7,82.1,24.5814349234232,9.3,53.5,47.1,19.3
509,Barnet - Mill Hill,18451,63.8,80.7,86.6,22.8171914801366,13.1,36.1,34.4,10.2
510,Barnet - Hendon,18472,88.4,80.1,85.3,20.0844521437852,11.9,36.3,48.2,20.3
511,Croydon - Broad Green,18652,83.8,75.3,83.8,25.7613124597898,7.1,68.6,46.2,16.9
512,Ealing - East Acton,18706,62.3,80.1,85.6,19.250507858441104,8.2,50.1,54.4,22.4
513,Barnet - Golders Green,18818,98.7,78.3,84.2,27.186736103730503,12.0,34.2,45.8,17.5
514,Greenwich - Woolwich Riverside,19120,84.4,73.8,80.2,23.6297071129707,6.2,49.0,39.4,13.3
515,Greenwich - Thamesmead Moorings,19730,122.5,74.3,77.5,28.6467308667005,4.7,57.6,41.8,12.1
516,Barnet - Childs Hill,20049,69.0,77.4,82.0,19.173026086089102,12.4,38.9,51.2,23.0
517,Tower Hamlets - Millwall,23084,58.1,83.6,95.0,15.5605614278288,3.5,47.6,52.1,23.4
