,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
57,Hillingdon - Ickenham,10387,57.1,81.9,85.4,18.638682969096,19.9,21.8,15.9,2.8
58,Richmond upon Thames - Twickenham Riverside,10396,73.8,78.4,81.0,17.131589072720303,12.4,10.3,26.8,7.2
59,Greenwich - Eltham West,10399,47.9,74.2,81.7,21.992499278776805,12.3,24.6,21.3,6.4
60,Harrow - Pinner South,10411,61.1,82.7,93.1,21.160311209297898,17.1,40.6,29.4,6.8
61,Bexley - Barnehurst,10418,61.0,78.6,85.8,18.9671722019581,18.2,9.8,8.0,1.3
62,Redbridge - Monkhams,10422,53.7,80.9,82.5,16.973709460756098,20.7,21.1,18.8,3.8
63,Bexley - Longlands,10442,52.5,79.6,81.3,16.2995594713656,21.7,9.4,9.9,2.1
64,Kingston upon Thames - Surbiton Hill,10459,54.2,79.1,81.9,16.703317716798903,13.5,19.0,25.0,7.0
65,Hillingdon - Northwood,10469,50.4,81.4,83.9,15.827681727003501,20.9,34.8,31.8,7.0
66,Richmond upon Thames - West Twickenham,10528,88.4,79.2,83.4,21.789513677811602,11.7,16.0,21.1,4.4
67,Sutton - Sutton West,10536,63.2,79.4,82.2,18.0713743356112,13.9,23.0,25.1,7.8
68,Bexley - Brampton,10546,43.9,80.4,84.9,17.2482457803907,20.9,13.1,10.4,1.6
69,Westminster - West End,10575,38.1,93.2,99.6,7.9148936170212805,10.9,32.4,56.8,24.2
70,Bexley - Northumberland Heath,10598,50.0,78.5,82.9,20.617097565578398,15.1,14.5,9.8,1.9
71,Hillingdon - West Ruislip,10611,55.8,80.4,85.3,17.8588257468665,16.8,18.0,18.4,3.9
72,Westminster - Little Venice,10633,70.0,80.2,92.5,17.201166180758,9.8,35.6,52.6,19.9
73,Sutton - Nonsuch,10641,52.0,81.6,87.4,18.550888074429103,17.3,15.3,15.7,3.6
74,Richmond upon Thames - North Richmond,10649,76.4,83.8,86.1,18.6590290168091,13.1,15.7,28.3,6.8
75,Sutton - Wallington North,10650,77.5,78.9,81.3,19.9154929577465,12.5,19.6,16.6,4.4
76,Sutton - Beddington South,10667,59.6,76.9,83.7,22.039936251992103,13.9,28.8,20.1,4.2
77,Newham - Royal Docks,10679,63.9,80.6,83.1,21.0693885195243,4.0,54.1,48.3,18.1
