,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
36,Kingston upon Thames - Beverley,10109,66.1,76.8,80.0,20.664754179444103,12.9,32.6,32.4,13.3,00AXFZ,74.5,26.5,11.5,2.9,15.2,1.0
37,Sutton - Wallington South,10200,53.0,178.0,81.7,18.2058823529412,17.3,21.3,18.5,4.3,00BFGT,72.0,9.5,16.4,4.2,18.7,1.1
38,Westminster - Maida Vale,10210,71.6,87.6,88.8,17.8844270323213,9.2,37.6,49.0,15.2,00BKGL,76.6,27.2,24.5,4.6,13.2,0.5
39,Richmond upon Thames - Hampton Wick,10221,60.9,79.7,84.4,20.438313276587397,13.3,11.4,20.3,4.5,00BDGC,55.8,50.0,15.1,1.8,10.0,1.1
40,Kingston upon Thames - Chessington South,10232,60.9,80.0,83.3,20.6802189210321,13.5,13.0,14.3,3.9,00AXGC,49.4,75.7,11.7,2.1,19.1,1.4
41,Merton - Lavender Fields,10273,76.2,80.8,80.9,20.3056556020637,7.3,46.8,46.1,19.6,00BAGF,68.0,19.0,20.4,5.7,18.1,0.8
42,Sutton - Cheam,10285,46.3,82.3,83.0,19.8249878463782,19.7,21.2,18.6,3.3,00BFGH,45.3,24.7,2.5,1.9,14.6,1.5
43,Merton - Pollards Hill,10287,81.0,80.2,85.2,24.1178186060076,10.5,56.4,35.9,9.4,00BAGK,73.5,52.8,24.1,8.4,21.7,1.0
44,Merton - Pollards Hill,10287,81.0,80.2,85.2,24.1178186060076,10.5,56.4,35.9,9.4,00BHGA,72.7,54.9,15.4,4.9,24.2,1.1
45,Waltham Forest - Chingford Green,10287,60.6,77.7,84.4,17.663069894040998,21.8,14.7,13.1,3.0,00BAGK,73.5,52.8,24.1,8.4,21.7,1.0
46,Waltham Forest - Chingford Green,10287,60.6,77.7,84.4,17.663069894040998,21.8,14.7,13.1,3.0,00BHGA,72.7,54.9,15.4,4.9,24.2,1.1
47,Richmond upon Thames - Barnes,10299,64.0,82.3,84.8,20.4000388387222,14.7,14.3,32.2,8.3,00BDFW,61.4,54.4,17.9,2.1,9.1,1.0
48,Westminster - Bayswater,10300,43.2,91.6,85.1,11.747572815534001,9.7,31.1,56.1,23.9,00BKGB,118.2,3.8,20.4,4.4,7.5,0.4
49,Sutton - Beddington North,10309,69.2,79.3,83.0,20.6906586477835,13.3,23.5,16.6,3.8,00BFGC,67.1,53.0,9.0,3.8,19.8,1.3
50,Richmond upon Thames - Heathfield,10313,80.0,80.2,82.3,20.1687190924076,14.8,30.4,26.6,8.7,00BDGD,59.0,27.0,21.2,3.8,20.4,1.2
51,"Richmond upon Thames - Ham, Petersham & Richmond Riverside",10317,68.8,78.3,86.4,19.1237762915576,16.7,15.9,30.5,7.6,00BDFZ,65.8,81.9,18.5,3.1,14.1,1.0
52,Merton - Abbey,10323,52.6,80.0,81.0,15.7318608931512,8.5,26.6,38.3,12.5,00BAFX,82.0,12.8,14.1,2.0,10.1,0.7
53,Richmond upon Thames - Teddington,10330,51.9,81.9,83.4,18.9351403678606,13.6,8.9,17.8,4.1,00BDGL,56.1,64.0,8.5,1.5,7.7,1.1
54,Richmond upon Thames - East Sheen,10348,85.9,84.5,88.5,22.9029764205644,13.9,9.3,23.6,5.5,00BDFX,58.3,76.7,7.6,1.5,6.6,1.1
55,Sutton - Sutton North,10355,60.5,76.9,82.9,20.1352003862868,16.5,21.9,21.1,6.1,00BFGN,49.9,27.0,11.1,3.8,21.6,1.1
56,Kingston upon Thames - Coombe Hill,10357,43.9,80.4,83.0,18.818190595732396,14.4,35.5,40.6,13.9,00AXGD,56.8,42.1,11.6,2.3,10.7,1.3
57,Westminster - Marylebone High Street,10366,36.5,84.4,83.9,8.527879606405559,11.7,27.8,58.5,21.8,00BKGM,376.3,6.1,9.9,1.3,5.8,0.5
58,Harrow - West Harrow,10373,60.8,81.4,82.6,20.302708955943302,13.0,55.8,42.9,14.4,00AQGU,45.4,19.7,9.6,3.7,13.4,1.1
59,Hillingdon - Ickenham,10387,57.1,81.9,85.4,18.638682969096,19.9,21.8,15.9,2.8,00ASGR,43.5,55.7,4.4,1.6,14.6,1.6
60,Richmond upon Thames - Twickenham Riverside,10396,73.8,78.4,81.0,17.131589072720303,12.4,10.3,26.8,7.2,00BDGM,75.8,37.8,6.2,1.5,6.2,0.9
61,Greenwich - Eltham West,10399,47.9,74.2,81.7,21.992499278776805,12.3,24.6,21.3,6.4,00ALGW,61.6,30.5,44.1,6.2,30.8,0.9
62,Harrow - Pinner South,10411,61.1,82.7,93.1,21.160311209297898,17.1,40.6,29.4,6.8,00AQGM,0.9,22.2,6.7,1.9,11.4,1.4
63,Bexley - Barnehurst,10418,61.0,78.6,85.8,18.9671722019581,18.2,9.8,8.0,1.3,00ADGA,41.8,35.8,10.7,3.5,23.1,1.3
64,Redbridge - Monkhams,10422,53.7,80.9,82.5,16.973709460756098,20.7,21.1,18.8,3.8,00BCGN,56.3,29.9,4.4,1.9,15.0,1.4
65,Bexley - Longlands,10442,52.5,79.6,81.3,16.2995594713656,21.7,9.4,9.9,2.1,00ADGQ,40.7,30.0,13.2,2.8,20.9,1.2
66,Kingston upon Thames - Surbiton Hill,10459,54.2,79.1,81.9,16.703317716798903,13.5,19.0,25.0,7.0,00AXGL,30.3,5.8,7.5,1.7,10.7,1.0
67,Hillingdon - Northwood,10469,50.4,81.4,83.9,15.827681727003501,20.9,34.8,31.8,7.0,00ASGT,57.1,61.0,14.2,2.3,13.3,1.3
68,Richmond upon Thames - West Twickenham,10528,88.4,79.2,83.4,21.789513677811602,11.7,16.0,21.1,4.4,00BDGN,48.8,45.6,11.5,2.1,13.4,1.1
69,Sutton - Sutton West,10536,63.2,79.4,82.2,18.0713743356112,13.9,23.0,25.1,7.8,00BFGQ,39.9,23.1,3.9,2.5,13.5,1.1
70,Bexley - Brampton,10546,43.9,80.4,84.9,17.2482457803907,20.9,13.1,10.4,1.6,00ADGE,31.7,9.2,4.4,2.7,22.9,1.3
71,Westminster - West End,10575,38.1,93.2,99.6,7.9148936170212805,10.9,32.4,56.8,24.2,00BKGW,2100.2,3.9,23.5,3.4,9.6,0.4
72,Westminster - West End,10575,38.1,93.2,99.6,7.9148936170212805,10.9,32.4,56.8,24.2,00ABGP,90.7,16.4,12.3,6.9,24.0,1.0
73,Bexley - Northumberland Heath,10598,50.0,78.5,82.9,20.617097565578398,15.1,14.5,9.8,1.9,00ADGS,41.1,13.5,9.3,3.8,23.3,1.3
74,Hillingdon - West Ruislip,10611,55.8,80.4,85.3,17.8588257468665,16.8,18.0,18.4,3.9,00ASHC,67.0,49.5,11.0,2.0,16.3,1.3
75,Westminster - Little Venice,10633,70.0,80.2,92.5,17.201166180758,9.8,35.6,52.6,19.9,00BKGK,101.8,15.5,18.5,3.7,11.5,0.6
76,Sutton - Nonsuch,10641,52.0,81.6,87.4,18.550888074429103,17.3,15.3,15.7,3.6,00BFGJ,50.7,10.4,3.6,1.7,18.6,1.4
77,Richmond upon Thames - North Richmond,10649,76.4,83.8,86.1,18.6590290168091,13.1,15.7,28.3,6.8,00BDGG,72.6,54.1,16.9,2.1,10.2,0.9
78,Sutton - Wallington North,10650,77.5,78.9,81.3,19.9154929577465,12.5,19.6,16.6,4.4,00BFGS,60.0,19.9,12.9,3.3,16.4,1.1
79,Sutton - Beddington South,10667,59.6,76.9,83.7,22.039936251992103,13.9,28.8,20.1,4.2,00BFGD,61.1,39.1,35.9,6.2,21.0,1.3
80,Newham - Royal Docks,10679,63.9,80.6,83.1,21.0693885195243,4.0,54.1,48.3,18.1,00BBGT,91.6,57.8,30.8,5.6,14.1,0.7
81,Harrow - Hatch End,10693,55.3,82.0,84.3,18.685121107266397,19.8,43.3,33.0,9.1,00AQGE,50.8,31.1,8.5,2.4,15.4,1.4
82,Merton - Colliers Wood,10712,62.9,77.6,83.3,14.189693801344301,8.1,40.1,47.2,16.3,00BAFZ,92.8,14.5,12.6,3.5,13.3,0.7
83,Merton - Colliers Wood,10712,62.9,77.6,83.3,14.189693801344301,8.1,40.1,47.2,16.3,00BFGL,52.6,21.5,3.7,2.8,20.5,1.4
84,Sutton - Stonecot,10712,45.6,78.7,85.2,20.5843913368185,14.5,20.9,18.1,5.2,00BAFZ,92.8,14.5,12.6,3.5,13.3,0.7
85,Sutton - Stonecot,10712,45.6,78.7,85.2,20.5843913368185,14.5,20.9,18.1,5.2,00BFGL,52.6,21.5,3.7,2.8,20.5,1.4
86,Waltham Forest - Endlebury,10730,54.9,80.4,84.4,18.611369990680302,16.9,22.4,17.5,3.8,00BHGB,55.0,18.5,14.7,4.8,23.5,1.3
87,Haringey - Muswell Hill,10784,56.3,77.4,81.5,17.8783382789318,12.1,16.2,26.1,7.0,00APGJ,81.0,31.2,9.4,3.0,8.3,0.9
88,Croydon - New Addington,10801,72.7,74.4,80.5,25.803166373483897,12.7,23.7,13.9,3.0,00AHGR,87.4,31.2,42.2,7.9,34.8,1.0
89,Richmond upon Thames - South Richmond,10820,55.2,78.7,83.6,16.5526802218115,14.0,13.1,33.0,8.5,00BDGJ,123.3,47.3,13.9,2.0,7.1,0.9
90,Bexley - Sidcup,10844,43.7,76.4,78.8,15.815197344153399,20.0,10.1,10.6,2.2,00ADGW,53.1,25.8,6.7,2.0,19.1,1.2
91,Bexley - East Wickham,10858,71.2,79.0,84.0,18.916927610978103,18.0,16.9,13.4,3.2,00ADGL,45.3,26.5,12.6,4.6,26.4,1.2
92,Bexley - Danson Park,10864,53.6,79.8,84.3,18.501472754050102,17.5,16.2,13.2,3.1,00ADGK,59.1,36.3,8.9,3.3,23.0,1.2
93,Camden - Bloomsbury,10892,22.1,77.2,81.6,7.133676092544991,10.0,40.4,51.2,19.5,00AGGE,438.7,9.2,28.6,4.2,7.8,0.2
94,Kingston upon Thames - Grove,10955,52.9,77.7,88.8,12.8617069831127,9.4,23.2,31.4,11.2,00AXGF,366.4,23.6,13.2,2.2,8.5,0.8
95,Kingston upon Thames - Grove,10955,52.9,77.7,88.8,12.8617069831127,9.4,23.2,31.4,11.2,00AGGN,92.1,65.2,34.1,5.2,12.6,0.7
96,Camden - Highgate,10955,45.9,82.3,84.1,17.8183477863989,15.2,20.2,27.1,5.5,00AXGF,366.4,23.6,13.2,2.2,8.5,0.8
97,Camden - Highgate,10955,45.9,82.3,84.1,17.8183477863989,15.2,20.2,27.1,5.5,00AGGN,92.1,65.2,34.1,5.2,12.6,0.7
98,Bexley - Christchurch,10965,61.9,77.8,80.9,18.1030551755586,18.3,13.4,11.5,2.3,00ADGF,110.8,17.3,3.9,3.3,21.0,1.2
99,Sutton - Sutton Central,10993,78.5,75.7,80.3,18.7573910670427,11.5,24.1,26.9,99.7,00BFGM,179.9,12.9,22.7,5.6,18.6,0.8
100,Waltham Forest - Hatch Lane,11058,73.8,78.6,82.9,20.2930005425936,16.1,22.2,16.5,4.4,00BHGF,77.2,37.7,24.7,7.0,26.2,1.1
101,Hackney - Brownswood,11091,41.0,77.9,83.9,14.435127580921499,6.2,38.2,42.7,18.6,00AMGA,79.1,28.2,32.0,6.0,14.1,0.4
102,Hackney - King's Park,11098,66.2,77.2,85.7,25.5541539016039,9.2,62.0,43.3,13.4,00AMGL,61.9,67.7,57.9,13.6,24.6,0.5
103,Harrow - Rayners Lane,11124,64.9,82.1,85.0,20.631067961164998,13.9,65.5,48.0,17.6,00AQGP,44.4,10.7,2.2,3.2,13.7,1.3
104,Bexley - Colyers,11128,85.7,78.2,80.2,22.1872753414809,14.5,17.7,12.3,2.0,00ADGG,44.6,13.1,29.4,6.7,25.1,1.1
105,Harrow - Headstone South,11135,73.0,80.0,89.5,20.3682083520431,12.0,56.5,44.2,15.9,00ADGU,30.0,5.9,7.0,3.7,21.8,1.4
106,Harrow - Headstone South,11135,73.0,80.0,89.5,20.3682083520431,12.0,56.5,44.2,15.9,00AQGG,40.5,14.4,7.2,3.7,13.1,1.1
107,Harrow - Kenton East,11138,60.4,78.2,85.9,18.737654875202,12.4,73.4,57.1,24.7,00AQGH,45.6,7.2,14.8,3.7,23.4,1.2
108,Harrow - Kenton West,11173,64.8,82.0,86.6,17.9092455025508,14.3,72.6,51.3,20.4,00AQGJ,57.1,17.9,3.0,3.0,17.9,1.4
109,Merton - Wimbledon Park,11197,81.1,84.7,86.1,21.2021077074216,8.2,20.4,32.9,8.4,00BAGS,54.6,28.5,8.3,2.0,7.8,1.0
110,Bexley - Cray Meadows,11207,61.7,76.9,79.5,20.5139644864817,17.6,11.0,9.9,2.3,00ADGJ,46.2,61.6,22.8,4.1,25.1,1.2
111,Bexley - Crayford,11226,64.2,77.4,87.5,21.6907179761268,14.6,11.7,10.0,1.9,00ADGH,61.3,42.7,21.8,4.7,25.3,1.1
112,Harrow - Stanmore Park,11229,67.4,80.2,81.1,17.3479383738534,22.4,43.3,34.5,8.8,00AQGS,62.5,45.8,15.0,3.2,19.7,1.4
113,Merton - Figge's Marsh,11240,114.6,75.9,80.2,23.113879003558697,9.3,57.4,44.9,16.3,00BAGC,99.0,23.0,27.3,9.1,21.0,0.8
114,Westminster - Abbey Road,11250,68.5,81.5,85.1,17.4577777777778,14.0,35.4,56.9,20.4,00BKGA,56.8,7.2,9.1,2.4,10.0,0.7
115,Camden - Hampstead Town,11270,57.5,82.7,86.6,17.4977817213842,15.9,20.0,40.9,10.4,00AGGL,111.0,54.2,13.4,1.6,6.1,0.7
116,Waltham Forest - Larkswood,11337,71.4,77.5,83.6,19.978830378407,15.3,31.2,21.8,6.3,00BHGK,85.8,31.4,17.4,6.6,26.2,1.1
117,Harrow - Belmont,11343,81.1,82.1,85.5,21.246583796173898,13.0,58.7,41.6,13.2,00AQFY,56.1,11.0,3.7,2.8,15.1,1.5
118,Hounslow - Chiswick Homefields,11346,52.3,78.7,83.6,18.3324519654504,11.3,18.8,34.0,9.8,00ADGP,57.2,36.9,21.0,5.3,23.8,1.1
119,Hounslow - Chiswick Homefields,11346,52.3,78.7,83.6,18.3324519654504,11.3,18.8,34.0,9.8,00ATGA,103.6,42.2,16.4,2.3,9.3,0.9
120,Bexley - Lesnes Abbey,11346,75.5,79.6,84.3,20.9236735413362,15.6,31.0,23.3,5.0,00ADGP,57.2,36.9,21.0,5.3,23.8,1.1
121,Bexley - Lesnes Abbey,11346,75.5,79.6,84.3,20.9236735413362,15.6,31.0,23.3,5.0,00ATGA,103.6,42.2,16.4,2.3,9.3,0.9
122,Harrow - Harrow Weald,11376,65.1,80.6,85.7,19.743319268635698,17.1,48.3,36.7,10.5,00AQGD,65.5,56.3,15.9,4.7,19.4,1.3
123,Harrow - Wealdstone,11394,94.0,75.5,81.4,23.424609443566798,11.0,62.6,46.9,18.3,00AQGT,85.8,3.4,15.1,6.4,20.9,1.0
124,Hounslow - Hanworth Park,11408,72.7,77.7,82.4,20.468092566619898,12.0,30.8,28.5,10.9,00ATGG,99.1,41.4,21.3,3.8,23.4,1.1
125,Hounslow - Hounslow South,11409,60.7,83.6,88.7,19.3110098176718,12.5,45.1,38.7,13.2,00ATGN,54.8,17.9,5.1,2.9,15.7,1.3
126,Richmond upon Thames - Kew,11436,66.7,79.0,88.4,20.1556488282616,13.9,15.3,30.2,7.6,00BDGE,61.6,56.6,9.9,1.7,7.5,1.0
127,Hillingdon - Manor,11442,53.6,80.0,83.1,20.241216570529602,15.7,16.0,16.2,3.6,00ASGS,56.0,18.0,4.1,2.0,17.0,1.3
128,Waltham Forest - Valley,11444,75.2,77.5,80.9,21.1464522894093,13.4,38.4,25.6,7.9,00BHGQ,145.1,17.6,17.9,8.1,26.1,1.1
129,Hounslow - Turnham Green,11448,52.2,77.9,83.8,14.9807826694619,12.9,23.2,39.9,12.8,00ATGT,117.8,7.4,14.7,2.7,9.9,0.8
130,Merton - Cricket Green,11474,120.0,78.5,87.0,23.3135785253617,10.8,47.5,39.5,14.5,00BAGA,93.2,50.0,36.9,10.1,24.5,0.7
131,Croydon - Fieldway,11479,78.1,75.4,78.6,31.1089816186079,10.1,34.4,19.3,4.1,00AHGN,64.7,22.8,60.6,11.0,34.4,0.8
132,Islington - Clerkenwell,11490,29.2,77.6,84.9,12.236727589208,8.2,29.3,38.5,12.6,00AUGB,195.4,9.3,42.3,5.6,15.1,0.4
133,Redbridge - Church End,11516,67.5,81.4,84.6,18.2354984369573,11.9,26.5,22.1,5.8,00BCGC,89.3,3.3,8.2,3.7,12.3,1.1
134,Hounslow - Chiswick Riverside,11543,76.7,85.4,82.2,18.7559559906437,11.8,19.1,30.3,8.9,00ATGB,72.1,35.2,18.5,2.9,9.2,1.0
135,Hounslow - Chiswick Riverside,11543,76.7,85.4,82.2,18.7559559906437,11.8,19.1,30.3,8.9,00BCGU,85.9,64.2,14.3,3.0,15.2,1.1
136,Redbridge - Wanstead,11543,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7,00ATGB,72.1,35.2,18.5,2.9,9.2,1.0
137,Redbridge - Wanstead,11543,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7,00BCGU,85.9,64.2,14.3,3.0,15.2,1.1
138,Southwark - East Walworth,11557,58.2,74.5,81.9,18.499610625594897,8.3,51.8,43.8,13.7,00BEGJ,166.9,24.1,53.9,7.4,20.8,0.4
